finding_id	classification	file	line	literal_path	package_component	function_node_or_launch_arg	execution_condition	default_enabled	authoritative	parameter_override_exists	target_exists	effect_when_missing	recommended_replacement	phase1_closure_group
HCP-001	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/rtabmap_bridge.launch.py	29	/data/maps/site_a/rtabmap.db	robot_bringup	RTAB-Map database_path launch argument	Used by rtabmap_bridge directly or when included by bringup.launch.py/bringup_2d.launch.py	Yes for direct launch; inherited by wrappers unless overridden	Yes	Yes; database_path launch arg	Yes	RTAB-Map startup/localization uses site-specific DB; different Jetson may lack same path	LAUNCH_ARGUMENT_WITH_PACKAGE_SHARE_DEFAULT or SITE_PROFILE_PATH	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-002	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/bringup.launch.py	65	/data/maps/site_a/rtabmap.db	robot_bringup	bringup.launch.py database_path launch argument	Normal bringup default; forwarded to rtabmap_bridge	Yes	Yes	Yes; database_path launch arg	Yes	Normal mapping/localization/navigation startup depends on site-local absolute DB default	SITE_PROFILE_PATH	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-003	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/fastlio_mapping.launch.py	64	/data/maps/site_a/rtabmap.db	robot_bringup	fastlio_mapping.launch.py database_path launch argument	FAST-LIO mapping launch	Yes	Yes	Yes; database_path launch arg	Yes	Mapping launch defaults to machine/site path	SITE_PROFILE_PATH	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-004	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/fast_lio2.launch.py	79	/data/maps/site_a/rtabmap.db	robot_bringup	fast_lio2.launch.py database_path launch argument	FAST-LIO + RTAB-Map mapping/localization launch	Yes	Yes	Yes; database_path launch arg	Yes	Mapping/localization launch defaults to machine/site path	SITE_PROFILE_PATH	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-005	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/offline_view.launch.py	33	/data/maps/site_a/rtabmap.db	robot_bringup	offline_view database_path launch argument	Only explicit offline_view launch	Yes when offline_view used	Yes	Yes; database_path launch arg	Yes	Offline viewer fails or loads wrong local DB on another machine	COMMAND_LINE_ARGUMENT	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-006	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/offline_avoidance.launch.py	62	/data/maps/db/first_version_0514.db	robot_bringup	offline_avoidance database_path launch argument	Only explicit offline_avoidance launch	Yes when offline_avoidance used	Yes	Yes; database_path launch arg	Yes	Offline trajectory publisher defaults to site-local DB	COMMAND_LINE_ARGUMENT	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-007	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/scripts/path_publisher.py	18	/data/maps/db/first_version_0514.db	robot_bringup	path_publisher database_path ROS parameter	Started by offline_avoidance; can also be run manually	Yes when node used	Yes	Yes; ROS parameter	Yes	Node startup loads absolute default if no path_yaml/override	ROS_PARAMETER	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-008	REPLAY_OR_TEST_ONLY	src/robot_bringup/scripts/extract_path_yaml.py	55	/data/maps/db/first_version_0514.db	robot_bringup	extract_path_yaml CLI default	Manual extraction script only	No	Yes	Yes; CLI positional arg	Yes	Manual script reads local DB default	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-009	REPLAY_OR_TEST_ONLY	scripts/extract_pcd_from_db.py	379	/data/maps/site_a/rtabmap.db	scripts	extract_pcd_from_db CLI default	Manual map/cloud extraction script only	No	Yes	Yes; CLI positional arg	Yes	Manual script exits if DB missing	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-010	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/scripts/path_waypoint_sender.py	29	/data/maps/db/path_waypoints.yaml	robot_bringup	path_waypoint_sender input ROS parameter	Started by offline_avoidance after timer	Yes when offline_avoidance used	Yes	Yes; ROS parameter	Yes	Offline Nav2 route sender fails to open YAML if default absent	ROS_PARAMETER	MUST_FIX_FOR_PHASE1_CLOSURE
HCP-011	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/scripts/record_path.py	21	/data/paths/recorded_path.yaml	robot_bringup	path_recorder output ROS parameter	Manual path recording node	No	Yes	Yes; ROS parameter	No	Node creates parent dir; writes under global /data by default	ROS_PARAMETER	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-012	REPLAY_OR_TEST_ONLY	src/robot_bringup/scripts/replay_path.py	27	/home/dog/my_path.yaml	robot_bringup	path_replayer input ROS parameter	Manual Nav2 path replay node	No	Yes	Yes; ROS parameter	Yes on Jetson 2	Path replay fails on other machines unless overridden	ROS_PARAMETER	DEFER_OPTIONAL_OR_LATER_FEATURE
HCP-013	REPLAY_OR_TEST_ONLY	play_afternoon.sh	1	/home/dog/fastlio_rtabmap_ros2_ws/bags/mapping_20260723_090116	root script	ros2 bag play argument	Manual bag replay helper	No	Yes	No	Not checked	Script fails if workspace path differs	COMMAND_LINE_ARGUMENT	DEFER_OPTIONAL_OR_LATER_FEATURE
