finding_id	original_classification	file	line	literal_path	phase1_closure_group	post_remediation_status	post_remediation_note
HCP-001	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/rtabmap_bridge.launch.py	29	/data/maps/site_a/rtabmap.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-002	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/bringup.launch.py	65	/data/maps/site_a/rtabmap.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-003	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/fastlio_mapping.launch.py	64	/data/maps/site_a/rtabmap.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-004	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/fast_lio2.launch.py	79	/data/maps/site_a/rtabmap.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-005	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/offline_view.launch.py	33	/data/maps/site_a/rtabmap.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-006	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/launch/offline_avoidance.launch.py	62	/data/maps/db/first_version_0514.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-007	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/scripts/path_publisher.py	18	/data/maps/db/first_version_0514.db	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-008	REPLAY_OR_TEST_ONLY	src/robot_bringup/scripts/extract_path_yaml.py	55	/data/maps/db/first_version_0514.db	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-009	REPLAY_OR_TEST_ONLY	scripts/extract_pcd_from_db.py	379	/data/maps/site_a/rtabmap.db	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-010	ACTIVE_BUT_PARAMETER_OVERRIDABLE	src/robot_bringup/scripts/path_waypoint_sender.py	29	/data/maps/db/path_waypoints.yaml	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-011	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/scripts/record_path.py	21	/data/paths/recorded_path.yaml	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-012	REPLAY_OR_TEST_ONLY	src/robot_bringup/scripts/replay_path.py	27	/home/dog/my_path.yaml	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-013	REPLAY_OR_TEST_ONLY	play_afternoon.sh	1	/home/dog/fastlio_rtabmap_ros2_ws/bags/mapping_20260723_090116	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-014	REPLAY_OR_TEST_ONLY	prepare_offline_nav.sh	10	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-015	REPLAY_OR_TEST_ONLY	run_offline_nav.sh	26	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-016	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	9	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/log/task_underground_replay	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-017	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	31	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/install/setup.bash	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-018	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	45	/home/dog/catkin_byd_1/wheeltec/datasets/lidar_imu_underGround	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-019	REPLAY_OR_TEST_ONLY	scripts/replay_underground.sh	54	/home/dog/catkin_byd_1/wheeltec/datasets/lidar_imu_underGround/rtabmap_db	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-020	REPLAY_OR_TEST_ONLY	scripts/run_underground_replay.sh	8	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/log/task_underground_replay	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-021	REPLAY_OR_TEST_ONLY	scripts/run_underground_replay.sh	18	/home/dog/catkin_byd_1/wheeltec/rtabmap_nav2_stack/install/setup.bash	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-022	REPLAY_OR_TEST_ONLY	scripts/run_underground_replay.sh	21	/home/dog/catkin_byd_1/wheeltec/datasets/lidar_imu_underGround	DEFER_OPTIONAL_OR_LATER_FEATURE	DEFERRED_AS_APPROVED	Deferred by approved audit/remediation plan; not part of minimum Phase 1 closure edit set.
HCP-023	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/bringup.launch.py	315	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-024	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/bringup_2d.launch.py	541	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-025	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/bringup_2d_infra.launch.py	606	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-026	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/fastlio_mapping_infra_2d.launch.py	347	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-027	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/rtabmap_bridge.launch.py	115	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-028	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/fastlio_mapping.launch.py	157	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-029	ACTIVE_RUNTIME_BLOCKER	src/robot_bringup/launch/fast_lio2.launch.py	248	/home/dog/.local/lib/python3.10/site-packages/torch/lib	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-030	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d.launch.py	84	./superpoint_superglue/SuperPointPretrainedNetwork/superpoint_v1.pt	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
HCP-031	OPTIONAL_FEATURE_BLOCKER	src/robot_bringup/launch/bringup_2d.launch.py	89	./superpoint_superglue/SuperGluePretrainedNetwork/rtabmap_superglue.py	MUST_FIX_FOR_PHASE1_CLOSURE	RESOLVED	Minimum Phase 1 runtime-path remediation implemented; active absolute/default path removed or unsafe default disabled while preserving explicit overrides.
