Function,Exists YES/NO,GUI control,Underlying code,Persistent mutation YES/NO,Current usefulness,Notes
Launch standalone GUI,YES,"python3 main.py / run.sh",plan_nav/main.py,NO,Current entry point,"PyQt5 application outside colcon"
Import RTAB-Map database,YES,导入 .db 文件,MainWindow.import_db -> core.db_loader.load_db,YES,Core,"Creates/uses sibling DB-stem work directory"
Display occupancy map,NO,Not currently active,decode_map/load_map path commented in import_db,NO,Not available in current import path,"Canvas currently uses trajectory view"
Display trajectory,YES,Automatic after import,MapView.draw_trajectory,NO,Core spatial context,"Green completed and grey remaining segments"
Create semantic node,YES,节点模式 + map click,MainWindow._on_map_click -> TopologyManager.add_waypoint,YES,Useful,"Snaps within 0.5 m of loaded trajectory"
Lock current trajectory node,YES,Space - 锁定节点,MainWindow.lock_current_node,YES,Useful,"Uses current playback frame"
Edit node annotation,YES,Pan-mode node click,MainWindow._on_annotation_request -> TopologyManager.set_annotation,YES,Useful,"Input dialog; empty text clears"
Create directed edge,YES,连边模式; click start then end,MainWindow._on_map_click -> TopologyManager.add_edge,YES,Core,"Default direction is uni; optional trajectory file may be written"
Generate default chronological edges,YES,No dedicated visible control,TopologyManager.generate_default_edges,YES,Helper/API only,"Method exists; not exposed as a distinct current button"
Toggle edge uni/bi,YES,No dedicated visible control,TopologyManager.toggle_direction,YES,API only,"Current GUI has no direction-toggle button"
Delete edge,YES,删边模式 + edge click,MainWindow._on_map_click -> remove_edge_bidirectional,YES,Useful,"Deletes reverse pair too when present"
Delete node,YES,删节点模式 + node click,MainWindow._on_map_click -> remove_waypoint,YES,Useful with contract caveat,"Remaining numeric node IDs are reindexed"
Undo node/edge/annotation edit,YES,Ctrl+Z,MainWindow._undo -> TopologyManager.undo,YES,Useful,"Undo stack is in-memory and writes restored files"
Reset topology,YES,复原 - 清空全部 / Ctrl+R,MainWindow._on_reset -> TopologyManager.reset_all,YES,Destructive utility,"Clears nodes.txt and edges.txt in active work directory"
Pan view,YES,平移 (默认) / drag,MapView ScrollHandDrag,NO,Useful,"
Zoom view,YES,Mouse wheel,MapView.wheelEvent,NO,Useful,"
Playback trajectory,YES,Z - 播放,TrajectoryPlayer and MainWindow._on_frame,NO,Useful,"
Process video frames,YES,处理数据,MainWindow._on_process_data -> video_processor,YES,Legacy/auxiliary,"Writes datasets/pic"
Run auto_node recognition,YES,auto_node,MainWindow._on_auto_node -> ObjectDetectorThread,YES,Auxiliary,"Writes/updates datasets/result and topology nodes"
Configure UDP endpoint,YES,UDP 配置 + 应用配置,LogPanel -> MainWindow._on_config_change,YES,Legacy/auxiliary,"Settings persistence path exists"
Configure trajectory parameters,YES,轨迹控制 + 应用轨迹参数,LogPanel -> MainWindow._on_traj_params_change,YES,Legacy/auxiliary,"Pure-pursuit UDP parameters"
Select start/goal,YES,规划模式; click two nodes,MainWindow._on_map_click plan branch,NO until route/mode action,Core route workflow,"First click start; second click goal"
Run Dijkstra,YES,Implicit after two plan clicks,core.pathfinder.build_graph/find_path,NO,Core,"Weighted networkx directed graph"
Show selected route,YES,Automatic after successful Dijkstra,MapView.draw_planned_path,NO,Useful,"Blue dashed overlay and status length/node count"
Prepare RouteSpec,YES,Implicit after successful route,MainWindow._prepare_mission_route / build_sparse_route_spec,NO,Accepted boundary,"Requires topology manifest and valid edge identity"
Publish RouteMission,YES,Publish Mission in mission_nav2 mode,mission_bridge.MissionBridgeNode.publish_route,NO,Accepted boundary,"Publishes typed /mission/route"
Start/pause/resume/cancel mission,YES,Start Mission/Pause/Resume/Cancel,mission_bridge service clients,NO,Existing overlap,"Runtime authority remains Mission Manager; not exercised in review"
Legacy UDP route send,YES,Implicit after route in legacy mode,MainWindow._start_udp_send -> UdpSender,NO,Legacy only,"Not started in review; isolation required"
Show edge ID text,NO,None,MapView.draw_edges only draws length text,NO,Gap,"edge_id is persisted/route-carried but not visually labeled"
Export topology,NO,None,No separate export workflow,NO,Gap,"Files are written automatically"
Clear selected route only,NO,None,New plan replaces prior path; reset clears all,NO,Minor gap,"No dedicated clear-route control"
