display_name,authoritative_node,topic_service_action,message_type,fields,frame,qos_or_rate,already_exists,derivation_needed,proposed_method,notes
Mission ID,mission_manager,/mission/state,parking_robot_interfaces/msg/MissionState,mission_id,map,reliable transient-local,YES,NO,GUI text,primary mission authority
Start Node,plan_nav/Mission Manager,/mission/route,parking_robot_interfaces/msg/RouteMission,node_ids[0],map,reliable transient-local,YES,YES,GUI text,observational field join
Goal Node,plan_nav/Mission Manager,/mission/route,parking_robot_interfaces/msg/RouteMission,node_ids[-1],map,reliable transient-local,YES,YES,GUI text,observational field join
Current Edge,Mission Manager + retained RouteMission,/mission/state + /mission/route,MissionState + RouteMission,edge_ids[current_waypoint_index],map,both reliable transient-local,NO,YES,GUI text,index join only; ARRIVAL/NONE at final pose
Current Goal,Mission Manager,/mission/state + /mission/route,MissionState + RouteMission,current_waypoint_index + poses[index],map,both reliable transient-local,NO,YES,GUI metric-goal marker/text,not topological goal node
Mission Progress,Mission Manager,/mission/state,parking_robot_interfaces/msg/MissionState,progress/completed_waypoint_count/total_waypoint_count,map,reliable transient-local,YES,NO,GUI progress bar,typed authority
Mission State,Mission Manager,/mission/state,parking_robot_interfaces/msg/MissionState,state/reason_code/detail,map,reliable transient-local,YES,NO,GUI state badge,primary high-level status
Mission Reason,Mission Manager,/mission/state,parking_robot_interfaces/msg/MissionState,reason_code/detail,map,reliable transient-local,YES,NO,GUI fault/reason text,diagnostics are secondary
Nav2 State,Mission Manager + Nav2 actions,/mission/state and /navigate_to_pose,MissionState + nav2_msgs/action/NavigateToPose,state/result/feedback,map,action plus transient-local,PARTIAL,YES,GUI derived detail,primary GUI state remains MissionState
Planner State,planner_server,/compute_path_to_pose,nav2_msgs/action/ComputePathToPose,goal/result,status,map,action QoS,YES,NO,GUI detail/RViz evidence,not primary GUI status
Controller Valid,phase4_p4c_permission_fixture in mock chain,/system/controller_valid,std_msgs/msg/Bool,data,none,20 Hz volatile,YES,NO,GUI validity badge,current mock publisher is fixture; production authority not frozen
Safe Commanded Speed,guarded_vehicle_cmd_gate,/vehicle_cmd_safe,geometry_msgs/msg/TwistStamped,twist.linear.x,base_footprint,Gate heartbeat 20 Hz,YES,NO,GUI numeric field,not measured wheel speed
Perception Valid,required_perception_validity,/system/collision_monitor_valid,std_msgs/msg/Bool,data,none,20 Hz volatile,YES,NO,GUI validity badge,current required AND output uses CM-valid topic name
MID-360 Valid,collision_monitor_validity_monitor,/phase5/perception/mid360_valid,std_msgs/msg/Bool,data,none,20 Hz volatile,YES,NO,debug GUI,individual detail only
T-mini Valid,collision_monitor_validity_monitor,/phase5/perception/tmini_valid,std_msgs/msg/Bool,data,none,20 Hz volatile,YES,NO,debug GUI,individual detail only
Localization Valid,localization_validity_monitor,/system/localization_valid,std_msgs/msg/Bool,data,none,20 Hz volatile,YES,NO,GUI validity badge,existing authority
Collision Monitor Health,collision_monitor_validity_monitor,/system/collision_monitor_valid,std_msgs/msg/Bool,data,none,20 Hz volatile,YES,NO,GUI health badge,health only not action state
Collision Monitor Action State,stock nav2_collision_monitor,NOT EXPOSED,NO authoritative state message,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,do not infer in GUI,requires future observational adapter or explicit upstream exposure
Gate State,guarded_vehicle_cmd_gate,/phase5/gate_test/state or /vehicle_cmd_safety/state,diagnostic_msgs/msg/DiagnosticStatus,message/values,none,20 Hz heartbeat,YES,NO,GUI state badge,configured topic is mode-dependent
Gate Reason,guarded_vehicle_cmd_gate,same Gate state topic,diagnostic_msgs/msg/DiagnosticStatus,message/values,none,20 Hz heartbeat,YES,NO,GUI reason text,examples ARMED_COMMAND SAFE_TWIST_STALE
Map,RTAB-Map,/map,nav_msgs/msg/OccupancyGrid,data/info/map_load_time,map,transient-local static layer,YES,NO,RViz Map display,canonical map authority
Robot Pose,TF broadcaster,map -> base_footprint and odom_chassis -> base_footprint,tf2,transform,TF frames,TF dynamic,YES,NO,RViz TF/RobotModel,do not create pose topic
