Module	Authority Status	Authority Section	Discovered Path	Tracked	Classification	Owner	Evidence	Activation Gate	Acceptance Criterion	Gap	Blocks Phase 1	Recommended Action
Mission source	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Route selection	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Mission execution	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Global planner (NavFn A*)	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Local controller (MPPI)	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Legacy fallback	LEGACY_BASELINE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Primary odometry (FAST-LIO)	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Mapping/localization (RTAB-Map)	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Basic localization-valid gate	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Advanced relocalization health	CORE_LATER_GATE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Main obstacle input (semantic)	CORE_LATER_GATE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Collision Monitor (final stop/slow)	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Generic Command Safety Gate	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Wheelchair Command Adapter	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Current CAN driver (wheelchair)	CORE_NOW	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Future chassis adapter	HARDWARE_FUTURE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Navigation constraints	CORE_LATER_GATE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Stereo camera	OPTIONAL_EVALUATE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Camera obstacle use	OPTIONAL_EVALUATE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
YDLIDAR	OPTIONAL_EVALUATE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
Ultrasonic	HARDWARE_FUTURE	§21	Authority §21 table only	No (embedded)	PARTIAL_EXISTING_ARTIFACT	Missing	Missing	Missing	Missing	No owner, evidence, gate, or criterion fields	No	Add to tracked registry
