Category	Component / executable	Source file	Defined where	Condition / trigger	Input topic(s)	Output / transport	Message type	Count defined	Max simultaneously active	Physical motion possible?	Collision Monitor affects this path?	YDLIDAR safety active?	Classification / correction	Evidence
nav_msgs/Path publisher	plan_nav PlanPublisher thread	plan_nav/core/nav_publisher.py	plan_nav/ui/main_window.py operation mode path	python3 plan_nav/main.py -> MainWindow; operation mode starts PlanPublisher; selected route plus current pose required for non-empty publication	route trajectory + current pose	/plan_nav	nav_msgs/Path	1	1	No, path only	No	No	plan_nav is a ROS Path publisher when operation mode is active; main.py invokes GUI chain, publisher is created in nav_publisher.py	main.py:27-30; main_window.py:1126-1133,1164-1171,1186-1190,880-883; nav_publisher.py:140-159,182-190
nav_msgs/Path publisher	plan_nav_laser_avoidance.py	src/robot_bringup/scripts/plan_nav_laser_avoidance.py	src/robot_bringup/launch/bringup_2d.launch.py	Only if enable_laser_avoidance=true	/plan_nav + /scan	/active_plan	nav_msgs/Path	1	1	Indirect only through Pure Pursuit and manual wheelchair_controller	No	Yes, path modulation from /scan	Confirmed active in bringup_2d default	bringup_2d.launch.py:58,416-451,568; plan_nav_laser_avoidance.py:157-165,192-299,465-475
nav_msgs/Path publisher	pure_pursuit future path	src/wheelchair_controller/src/pure_pursuit_controller.cpp	src/robot_bringup/launch/bringup_2d.launch.py	One Pure Pursuit instance active depending on enable_laser_avoidance	/active_plan or /plan_nav	/path_future	nav_msgs/Path	2 launch definitions	1	Debug/display only	No	Inherits active/no active branch	Display publisher, not command authority	pure_pursuit_controller.cpp:58,398-405; bringup_2d.launch.py:376-414,568-570
nav_msgs/Path publisher	path_publisher.py	src/robot_bringup/scripts/path_publisher.py	src/robot_bringup/launch/offline_avoidance.launch.py	Offline avoidance launch only	database/path YAML	/mapping_path	nav_msgs/Path	1	1	No, RViz display path	No	No	Offline display publisher only	path_publisher.py:15-24,74-77; offline_avoidance.launch.py:140-152
geometry_msgs/Twist publisher	Nav2 controller_server MPPI	system nav2_controller via nav2_bringup	src/robot_bringup/launch/bringup.launch.py and bringup_2d.launch.py	mode=navigation; SetRemap /cmd_vel to /cmd_vel_nav	Nav2 plan/costmaps	/cmd_vel_nav	geometry_msgs/Twist	1 per Nav2 launch	1 per launch	Not by itself; no direct chassis subscriber	Only if Collision Monitor is active in same chain	No	Nav2 speed source, but no direct CAN path	bringup.launch.py:216-235; bringup_2d.launch.py:355-374; nav2_common.yaml:62-99
geometry_msgs/Twist publisher	Collision Monitor	nav2_collision_monitor system node	src/robot_bringup/launch/bringup.launch.py	mode=navigation; added to LaunchDescription	/cmd_vel_nav	/cmd_vel	geometry_msgs/Twist	1	1	No in bringup.launch.py because no wheelchair_controller/Pure Pursuit final CAN path	Yes, for /cmd_vel consumers	No	Active in bringup.launch.py navigation	bringup.launch.py:237-290,335-337
geometry_msgs/Twist publisher	Collision Monitor	nav2_collision_monitor system node	src/robot_bringup/launch/bringup_2d.launch.py	Node object exists but ld.add_action is commented	/cmd_vel_nav	/cmd_vel	geometry_msgs/Twist	1 defined	0	No	No, unreachable in this launch	No	Inactive/commented in current 2D live launch; prior audit misread node definition as active	bringup_2d.launch.py:478-531,572-573
std_msgs/Float32MultiArray wheelchair-command publisher	Pure Pursuit with laser avoidance	src/wheelchair_controller/src/pure_pursuit_controller.cpp	src/robot_bringup/launch/bringup_2d.launch.py	enable_laser_avoidance=true	/active_plan + TF + /baselink2map + /cmd_vel subscriber state	/wheelchair_control_command_raw	std_msgs/Float32MultiArray	1	1	Only if wheelchair_controller_node also running	No because Collision Monitor inactive in bringup_2d	Yes, downstream filter active	Default 2D legacy command publisher	pure_pursuit_controller.cpp:44-66,98-120,353-359; bringup_2d.launch.py:376-395,568-571
std_msgs/Float32MultiArray wheelchair-command publisher	Laser command safety filter	src/robot_bringup/scripts/laser_command_safety_filter.py	src/robot_bringup/launch/bringup_2d.launch.py	enable_laser_avoidance=true	/wheelchair_control_command_raw + /scan + /laser_avoidance_state	/wheelchair_control_command	std_msgs/Float32MultiArray	1	1	Only if wheelchair_controller_node also running	No	Yes	Default final ROS chassis-command publisher in 2D laser-avoidance path	laser_command_safety_filter.py:56-61,74-148; bringup_2d.launch.py:453-476,571
std_msgs/Float32MultiArray wheelchair-command publisher	Pure Pursuit without laser avoidance	src/wheelchair_controller/src/pure_pursuit_controller.cpp	src/robot_bringup/launch/bringup_2d.launch.py	enable_laser_avoidance != true	/plan_nav + TF + /baselink2map + /cmd_vel subscriber state	/wheelchair_control_command	std_msgs/Float32MultiArray	1	1	Only if wheelchair_controller_node also running	No because Collision Monitor inactive in bringup_2d	No	Mutually exclusive with laser-avoidance Pure Pursuit branch	pure_pursuit_controller.cpp:44-66,98-120,353-359; bringup_2d.launch.py:397-414,570
