Component	Package	Source Path	Type	Classification	Reason	Phase 2 Action	Notes
odom_from_cmd_vel.py	robot_bringup	src/robot_bringup/scripts/odom_from_cmd_vel.py	Python node	REUSE_SOURCE_DIRECTLY	Existing fake odometry: cmd_vel→/Odometry+odom→base_footprint TF; 50Hz, diff-drive, 0.5s timeout	Modify cmd_vel topic to /cmd_vel_phase2_mock (parameterize)	Core Phase 2 component
path_publisher.py	robot_bringup	src/robot_bringup/scripts/path_publisher.py	Python node	REUSE_SOURCE_DIRECTLY	Publishes nav_msgs/Path from YAML waypoints; path-parameterized in Phase 1	Use unchanged for visualization and waypoint source	Optional utility
path_waypoint_sender.py	robot_bringup	src/robot_bringup/scripts/path_waypoint_sender.py	Python node	REIMPLEMENT_FROM_CONCEPT	Sequential NavigateToPose client; good concept but tightly coupled to plan_nav workflow	Reimplement as cleaner phase2_goal_test_runner.py	Concept proven, code needs simplification
fake_odom_publisher.py	robot_bringup	src/robot_bringup/scripts/fake_odom_publisher.py	Python node	REUSE_SOURCE_DIRECTLY	Publishes identity odometry at 2 Hz for RTAB-Map; useful for static-TF-only modes	Use as fallback or reference	Not primary Phase 2 odom source
fake_odom_sim.py	robot_bringup	src/robot_bringup/scripts/fake_odom_sim.py	Python node	OBSOLETE_OR_INCOMPATIBLE	Pre-programmed circular motion; not cmd_vel-driven; publishes to /fake_odom not /Odometry	Do not use	Legacy simulation script
replay_path.py	robot_bringup	src/robot_bringup/scripts/replay_path.py	Python node	OBSOLETE_OR_INCOMPATIBLE	Legacy path replay; superseded by path_publisher.py + path_waypoint_sender.py	Do not use	Legacy
offline_view.launch.py	robot_bringup	src/robot_bringup/launch/offline_view.launch.py	Launch file	EVIDENCE_ONLY	RTAB-Map-dependent map viewer; useful concept for map_server + RViz	Extract map_server + RViz pattern into phase2_core_nav2.launch.py	Not directly reusable (RTAB-Map dependency)
offline_avoidance.launch.py	robot_bringup	src/robot_bringup/launch/offline_avoidance.launch.py	Launch file	EVIDENCE_ONLY	Map + Nav2 + obstacle workflow; contains MPPI costmap pattern with observation sources	Extract Nav2 bringup pattern; remove ALL observation sources	Good reference for Nav2 launch structure
nav2_common.yaml	robot_bringup	src/robot_bringup/config/nav2_common.yaml	YAML config	REUSE_WITH_MODIFICATION	NavFn A*, MPPI, BT plugins configured; needs costmap observation sources disabled	Copy to phase2_nav2_params.yaml; disable observation sources; set mock cmd_vel topic	Core config source
phase1_authority_baseline.rviz	robot_bringup	src/robot_bringup/config/phase1_authority_baseline.rviz	RViz config	REUSE_UNCHANGED	Unified Phase 1 RViz profile with Grid, TF, RobotModel, Map, Odometry, path	Use as Phase 2 baseline; add cmd_vel arrow display	if needed
rtabmap_nav2_stack backup	Backup	/home/dog/Backup/rtabmap_nav2_stack_before_restore_20260601_180327	Backup archive	EVIDENCE_ONLY	Pre-restoration backup; contains historical Nav2 configuration	Do not extract	Reference only
after competition	AZ	/home/dog/AZ/after competition	Results archive	EVIDENCE_ONLY	Post-competition results folder	Do not extract	Reference only
phase2_goal_test_runner.py	parking_robot_bringup (new)	(to be created)	Python node	NEW_COMPONENT	NavigateToPose action client test runner	Create: send goals, cancel, log, state machine	Core Phase 2 test component
phase2_core_nav2.launch.py	parking_robot_bringup (new)	(to be created)	Launch file	NEW_COMPONENT	Minimal Phase 2 bringup: map_server+fake_odom+Nav2	Create: isolated launch, no hardware	Core Phase 2 launch
phase2_fake_base.py	parking_robot_bringup (new)	(to be created)	Python node	NEW_COMPONENT	Wrapper for odom_from_cmd_vel with initial-pose param support	Create or extend odom_from_cmd_vel	Minimal wrapper
phase2_nav2_params.yaml	parking_robot_bringup (new)	(to be created)	YAML config	NEW_COMPONENT	Nav2 params with observation sources disabled, mock cmd_vel topic	Create from nav2_common.yaml	Phase 2 overlay config
